,restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein
0,Mcdonalds,Artisan Grilled Chicken Sandwich,380,60,7,0.0425531914893617,0.0,95,1110,44,0.17647058823529413,11,0.1945945945945946
1,Mcdonalds,Single Bacon Smokehouse Burger,840,410,45,0.3617021276595745,0.1875,130,1580,62,0.11764705882352941,18,0.24324324324324326
2,Mcdonalds,Double Bacon Smokehouse Burger,1130,600,67,0.574468085106383,0.375,220,1920,63,0.17647058823529413,18,0.372972972972973
3,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,280,31,0.2127659574468085,0.0625,155,1940,62,0.11764705882352941,18,0.2918918918918919
4,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,410,45,0.2553191489361702,0.0625,120,1980,81,0.23529411764705882,18,0.24324324324324326
5,Mcdonalds,Big Mac,540,250,28,0.2127659574468085,0.125,80,950,46,0.17647058823529413,9,0.12972972972972974
6,Mcdonalds,Cheeseburger,300,100,12,0.10638297872340426,0.0625,40,680,33,0.11764705882352941,7,0.07567567567567568
7,Mcdonalds,Classic Chicken Sandwich,510,210,24,0.0851063829787234,0.0,65,1040,49,0.17647058823529413,6,0.12972972972972974
8,Mcdonalds,Double Cheeseburger,430,190,21,0.23404255319148937,0.125,85,1040,35,0.11764705882352941,7,0.12972972972972974
9,Mcdonalds,Double Quarter Pounder® with Cheese,770,400,45,0.44680851063829785,0.3125,175,1290,42,0.17647058823529413,10,0.2702702702702703
10,Mcdonalds,Filet-O-Fish®,380,170,18,0.0851063829787234,0.0,40,640,38,0.11764705882352941,5,0.07567567567567568
11,Mcdonalds,Garlic White Cheddar Burger,620,300,34,0.2765957446808511,0.1875,95,790,48,0.17647058823529413,11,0.16756756756756758
12,Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,180,20,0.14893617021276595,0.0,125,1150,48,0.17647058823529413,11,0.22162162162162163
13,Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,300,34,0.19148936170212766,0.0,85,1190,67,0.29411764705882354,11,0.17297297297297298
14,Mcdonalds,Hamburger,250,70,8,0.06382978723404255,0.0,30,480,31,0.11764705882352941,6,0.06486486486486487
15,Mcdonalds,Lobster Roll,290,50,5,0.031914893617021274,0.0,65,630,35,0.11764705882352941,3,0.12432432432432433
16,Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,330,36,0.2978723404255319,0.1875,110,1260,40,0.17647058823529413,10,0.1945945945945946
17,Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,190,21,0.1702127659574468,0.0,135,1890,50,0.17647058823529413,14,0.25405405405405407
18,Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,310,35,0.19148936170212766,0.0625,95,1780,69,0.29411764705882354,14,0.20540540540540542
19,Mcdonalds,McChicken,350,130,15,0.07446808510638298,0.0,40,600,40,0.11764705882352941,5,0.07567567567567568
20,Mcdonalds,McDouble,380,160,18,0.1702127659574468,0.125,70,840,34,0.11764705882352941,7,0.11891891891891893
21,Mcdonalds,McRib,480,200,22,0.14893617021276595,0.0,80,870,45,0.11764705882352941,12,0.12972972972972974
22,Mcdonalds,Pico Guacamole 1/4 lb Burger,580,300,33,0.2553191489361702,0.1875,95,920,41,0.23529411764705882,7,0.15135135135135136
23,Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,160,18,0.1276595744680851,0.0,115,1540,50,0.23529411764705882,12,0.21081081081081082
24,Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,280,32,0.14893617021276595,0.0,80,1430,69,0.35294117647058826,12,0.16216216216216217
25,Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,200,23,0.10638297872340426,0.0,60,1050,64,0.23529411764705882,11,0.14594594594594595
26,Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,200,22,0.0851063829787234,0.0,45,1000,59,0.17647058823529413,13,0.12972972972972974
27,Mcdonalds,Quarter Pounder® with Cheese,530,240,27,0.2765957446808511,0.1875,100,1090,41,0.17647058823529413,10,0.16216216216216217
28,Mcdonalds,Signature Sriracha Burger,670,320,35,0.2553191489361702,0.1875,95,1010,56,0.23529411764705882,13,0.16756756756756758
29,Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,180,20,0.10638297872340426,0.0,115,1550,56,0.23529411764705882,14,0.21621621621621623
30,Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,300,33,0.14893617021276595,0.0,80,1430,75,0.29411764705882354,13,0.16756756756756758
31,Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,340,37,0.2978723404255319,0.1875,110,1310,51,0.17647058823529413,14,0.2
32,Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,200,22,0.14893617021276595,0.0,135,1930,61,0.23529411764705882,18,0.25405405405405407
33,Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,320,36,0.19148936170212766,0.0625,95,1820,80,0.29411764705882354,18,0.20540540540540542
